Code,Species,Group,Provenance
AchMil,Achillea millefolium,Forb,Exotic
AegTri,Aegilops triuncialis,Grass,Exotic
AgoHet,Agoseris heterophylla,Forb,Native
AirCar,Aira caryophyllea,Grass,Exotic
AnaArv,Anagallis arvensis,Forb,Exotic
Asclepias,Unknown,Forb,
AveBar,Avena barbata,Grass,Exotic
AveFat,Avena fatura,Grass,Exotic
Bare,Bare ground,Other,Other
BranchedTarweed,Unknown,,
BriMaj,Briza maxima,Grass,Exotic
BriMin,Briza minima,Grass,Exotic
BroDia,Bromus diandrus,Grass,Exotic
BroHor,Bromus hordeaceus,Grass,Exotic
BroMad,Bromus madritensis,Grass,Exotic
BroSterilis,Bromus sterilis,Grass,Exotic
CarPac,Carduus pycnocephalus,Forb,Exotic
Centaurea,Centaurea sp.,Forb,Exotic
CerGlo,Cerastium glomeratum,Forb,Exotic
ClaPur,Clarkia purpurea,Forb,Native
Clarkia,Combine with above,,
CovDis,Unknown,,
CroSet,Croton setigerus,Forb,Native
CynEch,Cynosurus echinatus,Grass,Exotic
DicCap,Dichlostemma capitatum,Forb,Native
Erodium,Erodium (cicutarium),Forb,Exotic
EupSpa,Euphorbia spathulata,Forb,Native
GalApa,Galium aparine,Forb,Exotic
GalPar,Galium parisiense,Forb,Exotic
GasVen,Gastridium ventricosum,Grass,Exotic
GerDis,Geranium dissectum,Forb,Exotic
GerDis.1,Combine with above,Forb,Exotic
GerMol,Geranium molle,Forb,Exotic
Gopher,Gopher mound,Other,Other
HypGla,Hypochaeris glabra,Forb,Exotic
LacSer,Lactuca serriola,Other,Exotic
Lathyrus,Lathyrus pusillus,Legume,Native
LinBic,Linanthus bicolor,Forb,Native
LinCil,Linanthus ciliatus,Forb,Native
LinPar,Linanthus parviflorus,Forb,Native
LolMul,Lolium multiflorum,Grass,Exotic
Lotus,Acmispon americanus,Legume,Native
Lupinus,Lupinus sp. (nanus or bicolor),Legume,Native
MadSat,Madia sativa,Forb,Native
MadSat.1,Combine with above,Forb,Native
MicCal,Micropus californicus,Forb,Native
NotMadia,Unknown,,
NotRanunculus,Unknown,,
PetDub,Petrorhagia dubia,Forb,Exotic
PlaNot,Plagiobothrys nothofulvus,Forb,Native
Ranunculus,Unknown,Forb,
Rock,Rock,Other,Other
RumCri,Rumex crispus,Forb,Exotic
Sidalcea,Sidalcea diploscypha,Forb,Native
SilGal,Silene gallica,Forb,Exotic
SisBel,Sisrynchium bellum,Forb,Native
SoftThistle,Unknown,,
Solidago,Unknown,,
StiPul,Stipa pulchra,Grass,Native
TaeCap,Taeniatherum caput-medusae,Grass,Exotic
Torilis,Torilis Sp.,Forb,Exotic
TriAes,Triticum aestivum,Grass,Exotic
TriCro,Trifolium microcephalum,Legume,Native
TriDon,Trifolium microdon,Legume,Native
TriDub,Trifolium dubium,Legume,Exotic
TriEri,Triphysaria eriantha,Forb,Native
TriFuc,Trifolium fucatum,Forb,Native
TriGra,Trifolium gracilentum,Legume,Native
TriHir,Trifolium hirtum,Legume,Exotic
TriMicro,Combine with above,Legume,Native
TriPlate,Unknown,,
TriRef,Unknown,,
Tritileia,Tritileia hyacinthina,Forb,Native
TritileiaBlue,Tritileia laxa,Forb,Native
TriWil,Trifolium wildenovii,Legume,Native
TriWild,Combine with above,Legume,Native
TriWra,Combine with above,Legume,Native
Unk.Forb,Unknown,,
UnkForb,Unknown,,
UnkForb.Cerastium..,Unknown,,
VicSat,Vicia sativa,Forb,Exotic
VulMyu,Vulpia myuros,Grass,Exotic
WhiteBrush,Unknown,,
WhiteGlume,Unknown,Grass,
Wyethia,Wyethia angustifolia,Forb,Native
YellowMint,Unknown,,
